Pair,Crossed,Uncrossed,TotalEmbryosHarvested,LiveEmbryosHarvestedDay0,LiveEmbryosHarvestedDay1,LiveEmbryosHarvestedDay2,Number,Sex,HatchDate,FeedingScheme,Feeder,DOI,Observed,Remove
7,9/9/19,9/10/19,41,15,13,13,429,f,5/23/19,7times/AL,56644700,9/23/19,1,
10,9/9/19,9/10/19,45,31,24,24,432,f,5/23/19,manual,manual,10/5/19,1,
11,9/9/19,9/10/19,7,4,3,3,433,f,5/23/19,12times/OF,13961c00,9/9/19,1,
3,9/16/19,9/17/19,0,0,0,0,425,f,5/23/19,7times/AL,caf18900,10/14/19,1,
4,9/16/19,9/17/19,1,0,0,0,426,f,5/23/19,manual,manual,9/23/19,1,
6,9/16/19,9/17/19,5,3,3,3,428,f,5/23/19,manual,manual,9/21/19,1,
7,9/16/19,9/17/19,14,10,7,7,429,f,5/23/19,7times/AL,56644700,9/23/19,1,
10,9/16/19,9/17/19,14,3,2,2,432,f,5/23/19,manual,manual,10/5/19,1,
11,9/16/19,9/17/19,8,1,0,0,433,f,5/23/19,12times/OF,13961c00,9/9/19,1,
3,9/23/19,9/24/19,0,0,0,0,425,f,5/23/19,7times/AL,caf18900,10/14/19,1,
9,9/23/19,9/24/19,0,0,0,0,431,f,5/23/19,manual,manual,9/26/19,1,
10,9/23/19,9/24/19,4,0,0,0,432,f,5/23/19,manual,manual,10/5/19,1,
