"human","ncbi","mlog10QvalxFC","ENTREZID"
"ABCB7","abcb7",-0.0106331044959301,"22"
"ABCB8","LOC107383862",0.000157607018713509,"11194"
"ABCB9","abcb9",-0.0245092339095627,"23457"
"ABCC1","LOC107373251",0.0157263019029816,"4363"
"ABCC1","LOC107392837",0.520902908091098,"4363"
"ABCC1","LOC107391801",1.22803454727215,"4363"
"ABCC10","abcc10",0.0722603375776968,"89845"
"ABCC12","LOC107381982",49.9294886452915,"94160"
"ABCC2","abcc2",0.028384070238337,"1244"
"ABCC3","LOC107388296",0.103932297719469,"8714"
"ABCC4","abcc4",0.884277145663268,"10257"
"ABCC5","abcc5",-3.30644685215539,"10057"
"ABCC8","abcc8",0.253703743999288,"6833"
"ABCC9","LOC107387088",0.0135263361969923,"10060"
"ABCD1","LOC107391455",-0.0225707665136564,"215"
"ABCD2","abcd2",1.05816306176365,"225"
"ABCD3","LOC107395207",0.0035450850349498,"5825"
"ABCD3","abcd3",0.0130029089799184,"5825"
"ABCD4","abcd4",-0.203764494471076,"5826"
"ABCE1","abce1",-0.0133593654802136,"6059"
"ABCF1","abcf1",0.00167620701893593,"23"
"ABCF2","abcf2",-0.0108460660817109,"10061"
"ABCF3","abcf3",-0.0398112623734806,"55324"
"ABCG1","LOC107395544",-0.00302704736420078,"9619"
"ABCG2","LOC107376824",-0.161612108351284,"9429"
"ABCG2","LOC107388909",-0.0508135695939721,"9429"
"ABCG4","abcg4",1.33494678486562,"64137"
"ABCG5","abcg5",-0.087978904369502,"64240"
"ABCG8","abcg8",-0.0208885189821023,"64241"
"ABHD10","abhd10",-0.227899813903252,"55347"
"ABHD11","abhd11",-0.541036031129495,"83451"
"ABHD12","LOC107375545",-0.600072014691658,"26090"
"ABHD12","LOC107376141",-0.00550880994397969,"26090"
"ABHD12","abhd12b",-0.0729581464670354,"26090"
"ABHD13","abhd13",-0.0389638355194321,"84945"
"ABHD14A","abhd14a",-0.0184896145454278,"25864"
"ABHD14B","abhd14b",-0.0772671358716072,"84836"
"ABHD15","LOC107386856",5.92049777804652,"116236"
"ABHD15","LOC107380403",0.00351274048128838,"116236"
"ABHD16A","abhd16a",-0.082316454610177,"7920"
"ABHD17B","abhd17b",0.0481525282030478,"51104"
"ABHD17C","LOC107384127",0.474538952368685,"58489"
"ABHD17C","LOC107393262",-0.00113269178357462,"58489"
"ABHD18","abhd18",0.0318316744156093,"80167"
"ABHD2","LOC107376844",0.939638815742913,"11057"
"ABHD2","abhd2",0.366701419649927,"11057"
"ABHD3","LOC107377588",-0.0397409270039875,"171586"
"ABHD3","abhd3",0.0805791641710268,"171586"
"ABHD4","abhd4",-0.00141851942208542,"63874"
"ABHD5","LOC107383196",0.203380101696018,"51099"
"ABHD5","abhd5",-0.0341145498534529,"51099"
"ABHD6","abhd6",-10.0730790045148,"57406"
"ABHD8","LOC107396936",-0.00683821939152011,"79575"
"ABHD8","abhd8",0.0679842920563972,"79575"
"ABI1","abi1",1.07066078889676,"10006"
"ABI1","LOC107384312",0.672683381320071,"10006"
"ABI1","LOC107390296",-3.86487719689636,"10006"
"ABI1","LOC107389593",0.00745439573864836,"10006"
"ABI2","abi2",0.00176029181690398,"10152"
"ABI2","LOC107388106",-0.00306837647567644,"10152"
"ABI3BP","abi3bp",1.34926334880582,"25890"
"ABI3BP","LOC107384590",0.387691573241432,"25890"
"ABL1","abl1",0.0338782323027238,"25"
"ABL2","abl2",0.340538899202247,"27"
"ABLIM1","ablim1",0.0317266870190108,"3983"
"ABLIM1","LOC107388069",0.078435175653609,"3983"
"ABLIM2","ablim2",-0.0319277135438532,"84448"
"ABLIM3","LOC107373670",0.116023964972088,"22885"
"ABLIM3","LOC107386751",-0.614877574203015,"22885"
"ABLIM3","LOC107394056",0.0684261553152082,"22885"
"ABO","LOC107381863",-1.41404641025614,"28"
"ABO","LOC107385470",-0.269457947698428,"28"
"ABR","LOC107377344",-2.11776779926244,"29"
"ABR","abr",0.390198211274195,"29"
"ABRA","LOC107384917",0.0591328026572928,"137735"
"ABRACL","abracl",-0.737104158093604,"58527"
"ABT1","abt1",0.00262319451490061,"29777"
"ABTB1","abtb1",-0.0268509798219187,"80325"
"ABTB2","abtb2",-0.0039251123848143,"25841"
"ABTB2","LOC107381557",1.81025733425489,"25841"
"ACAA1","acaa1",0.00298007170072866,"30"
"ACAA2","acaa2",0.308271993471026,"10449"
"ACACA","acaca",-0.00564028470540375,"31"
"ACACB","acacb",1.31539276602448,"32"
"ACAD11","LOC107374620",-0.0499255818341981,"84129"
"ACAD11","acad11",0.00801362747659224,"84129"
"ACAD11","LOC107372609",-0.118563785180815,"84129"
"ACAD8","acad8",0.0110454715073052,"27034"
"ACAD9","acad9",0.0754406677745993,"28976"
"ACADL","acadl",-0.075591211556137,"33"
"ACADM","acadm",-5.61758356503311e-05,"34"
"ACADS","acads",2.30351006328597e-05,"35"
"ACADS","LOC107383304",-0.00789503114195861,"35"
"ACADSB","acadsb",-0.00665725096855007,"36"
"ACADVL","LOC107393942",0.000256555746561557,"37"
"ACADVL","acadvl",-0.0134720245053578,"37"
"ACAN","LOC107382072",0.587190509022143,"176"
"ACAN","acan",-0.160956088972356,"176"
"ACAP2","acap1",-0.193319830813145,"23527"
"ACAP2","LOC107379876",0.0859529624085966,"23527"
"ACAP2","acap2",-0.254759760019578,"23527"
"ACAP3","LOC107385549",0.0538586399381676,"116983"
"ACAP3","LOC107374920",0.102098870258689,"116983"
"ACAP3","LOC107376598",0.00276149976819156,"116983"
"ACAT1","acat1",0.0525013580799842,"38"
"ACAT2","acat2",-0.00308696932636211,"39"
"ACBD3","acbd3",0.0135514509963349,"64746"
"ACBD4","acbd4",-0.00199033479759521,"79777"
"ACBD5","LOC107384316",0.0875520409870318,"91452"
"ACBD5","acbd5",0.123526030248838,"91452"
"ACBD6","acbd6",-0.0579387436208991,"84320"
"ACBD7","LOC107374258",-0.0927123668687892,"414149"
"ACCS","accs",-0.11934772575764,"84680"
"ACE","LOC107374589",0.622517545071145,"1636"
"ACE","LOC107374588",0.122626512947967,"1636"
"ACE","ace",-0.13689593033825,"1636"
"ACE","LOC107373324",0.442193444313993,"1636"
"ACE","LOC107374473",0.793873432061238,"1636"
"ACE","LOC107373083",0.878627149790013,"1636"
"ACE2","ace2",NA,"59272"
"ACER1","acer1",-0.00303050941337064,"125981"
"ACER2","acer2",-0.516307948734419,"340485"
"ACER3","acer3",0.699267730617326,"55331"
"ACHE","ache",0.202154716226571,"43"
"ACHE","LOC107395693",-0.628096300176106,"43"
"ACIN1","acin1",0.0356444756056457,"22985"
"ACIN1","LOC107377177",0.0476616053066859,"22985"
"ACKR3","ackr3",0.0213980848559078,"57007"
"ACKR4","LOC107372710",-0.081379467801175,"51554"
"ACKR4","LOC107383620",-0.00279163120148067,"51554"
"ACKR4","LOC107379530",0.0466577903325363,"51554"
"ACKR4","LOC107381917",-0.118231248143415,"51554"
"ACLY","LOC107387857",-0.124745424351276,"47"
"ACLY","acly",-0.140483282068675,"47"
"ACMSD","acmsd",-0.693612314094499,"130013"
"ACO1","aco1",-0.218560925847916,"48"
"ACO2","aco2",0.0458937489462688,"50"
"ACO2","LOC107376317",1.47150524648592,"50"
"ACOT1","LOC107380820",0.0616190332565685,"641371"
"ACOT1","LOC107395266",0.00430769381614404,"641371"
"ACOT11","acot11",-0.0014910596294457,"26027"
"ACOT11","LOC107384368",0.695577465799319,"26027"
"ACOT13","acot13",-0.185050178133904,"55856"
"ACOT7","acot7",1.54321278731391,"11332"
"ACOT8","acot8",-0.184650725464246,"10005"
"ACOT9","acot9",0.0250203012068999,"23597"
"ACOX1","acox1",-0.0343684667905348,"51"
"ACOX3","acox3",-0.197973836433558,"8310"
"ACP1","acp1",-0.0767603835566753,"52"
"ACP2","acp2",-0.0504634891901721,"53"
"ACP5","acp5",-0.190029351343459,"54"
"ACP6","acp6",-0.374686484529179,"51205"
"ACP7","acp7",1.5740834513262,"390928"
"ACSBG2","LOC107394339",1.5966693303752,"81616"
"ACSBG2","acsbg2",-0.230802127955431,"81616"
"ACSF2","LOC107393615",0.00389788694424623,"80221"
"ACSF2","LOC107387470",-0.0310475177174249,"80221"
"ACSF3","acsf3",0.0320442101019704,"197322"
"ACSL1","acsl1",0.38443559989061,"2180"
"ACSL3","LOC107384026",0.0319111259655971,"2181"
"ACSL3","acsl3",-0.171858851052276,"2181"
"ACSL4","acsl4",-0.00222567644721051,"2182"
"ACSL5","LOC107387641",5.3946468847398,"51703"
"ACSL6","LOC107386827",-0.0769746707707618,"23305"
"ACSL6","LOC107393756",-0.490499768864191,"23305"
"ACSS1","acss1",-0.293508678596475,"84532"
"ACSS2","LOC107383541",-3.18044274262975,"55902"
"ACSS2","LOC107390533",-0.0855691101781238,"55902"
"ACSS3","acss3",-2.72309258857688e-05,"79611"
"ACTA2","acta2",0.587157278736394,"59"
"ACTB","LOC107386128",1.50449866957019,"60"
"ACTC1","LOC107395987",0.155650163501768,"70"
"ACTC1","acta1",0.094850039461143,"70"
"ACTC1","LOC107377808",0.422255097334269,"70"
"ACTC1","actc1",-0.00534532246968639,"70"
"ACTC1","LOC107392454",0.120359939919167,"70"
"ACTG1","LOC107389815",-0.00529591685669519,"71"
"ACTG1","actb",0.014497574561504,"71"
"ACTL6A","actl6a",2.6234743674536e-05,"86"
"ACTN1","LOC107391737",-0.0459478400620031,"87"
"ACTN2","LOC107375941",1.44102523042148,"88"
"ACTN2","actn3",0.00129810922443464,"88"
"ACTN4","actn4",0.0221437334043008,"81"
"ACTR10","actr10",-0.0791115068078179,"55860"
"ACTR1B","LOC107396565",-0.0023163094395364,"10120"
"ACTR2","actr2",9.74314271304038e-05,"10097"
"ACTR2","LOC107377040",-0.943839384145132,"10097"
"ACTR3","LOC107377239",-0.216441555171144,"10096"
"ACTR3","LOC107382736",-2.15086753449099e-06,"10096"
"ACTR3","LOC107373242",0.000747469599921633,"10096"
"ACTR5","actr5",-0.0841112330551804,"79913"
"ACTR6","actr6",0.0496091901755964,"64431"
"ACTR8","actr8",-0.627683922323597,"93973"
"ACVR1","acvr1",0.0143288063431408,"90"
"ACVR1","LOC107390883",-0.00250187897550025,"90"
"ACVR1","LOC107392117",0.0513577389236897,"90"
"ACVR1B","acvr1b",0.0266675800483041,"91"
"ACVR1C","acvr1c",0.0150224840600052,"130399"
"ACVR2A","acvr2a",1.48053828112925,"92"
"ACVR2B","acvr2b",-0.166404185262822,"93"
"ACVR2B","LOC107383557",0.00251222858621119,"93"
"ACY1","acy1",-0.149278994422505,"95"
"ACY3","LOC107377364",-0.0053680443139076,"91703"
"ACYP1","LOC107396546",-0.67807142553034,"97"
"ACYP1","acyp1",-0.51210173907091,"97"
"ADA","ada",-2.13516527245745,"100"
"ADAD1","adad1",-0.558556479632462,"132612"
"ADAD2","adad2",0.337429705356373,"161931"
"ADAL","adal",0.203032055406982,"161823"
"ADAM10","LOC107393171",0.0176789621535888,"102"
"ADAM10","LOC107388626",-0.0255232916992824,"102"
"ADAM10","adam10",-0.113723729993536,"102"
"ADAM11","LOC107387859",0.00268860182995856,"4185"
"ADAM11","LOC107395130",-1.5027050193658,"4185"
"ADAM12","adam15",0.112521000489875,"8038"
"ADAM12","LOC107387781",0.613031831139148,"8038"
"ADAM12","adam12",-0.00248137423132483,"8038"
"ADAM17","LOC107377926",0.52805227725878,"6868"
"ADAM17","adam17",0.390574982830931,"6868"
"ADAM19","adam19",-0.119710820034093,"8728"
"ADAM22","adam22",1.29128391970994,"53616"
"ADAM23","adam23",0.123798983519853,"8745"
"ADAM28","adam32",-0.0691796203345195,"10863"
"ADAM8","adam8",-0.857595522709977,"101"
"ADAM8","LOC107387480",-0.545063190990976,"101"
"ADAM9","adam9",0.844791270390465,"8754"
"ADAM9","LOC107387804",0.417672592498576,"8754"
"ADAMTS1","adamts1",3.58183192242864,"9510"
"ADAMTS10","LOC107392874",-0.0179613745500339,"81794"
"ADAMTS12","LOC107394283",0.0373387024350146,"81792"
"ADAMTS13","adamts13",0.0635161013252845,"11093"
"ADAMTS14","adamts14",0.146478351739746,"140766"
"ADAMTS15","LOC107386475",0.0631180395584356,"170689"
"ADAMTS15","LOC107380757",1.08342100044558,"170689"
"ADAMTS16","adamts16",-0.446993557504994,"170690"
"ADAMTS18","adamts18",0.559403606702205,"170692"
"ADAMTS2","LOC107387186",-0.767893138646093,"9509"
"ADAMTS2","LOC107375858",-0.534876499749478,"9509"
"ADAMTS3","adamts3",3.16202697688045,"9508"
"ADAMTS5","adamts5",0.314633941438168,"11096"
"ADAMTS6","adamts6",-0.0277470221620529,"11174"
"ADAMTS7","LOC107381755",-0.3018473273385,"11173"
"ADAMTS8","adamts8",1.15478790600288,"11095"
"ADAMTS9","adamts9",0.796407897153507,"56999"
"ADAMTS9","adamts20",0.337632012066573,"56999"
"ADAMTSL1","adamtsl1",-0.269763102428819,"92949"
"ADAMTSL2","adamtsl2",-0.184836719832796,"9719"
"ADAMTSL5","adamtsl5",0.461961423275416,"339366"
"ADAP1","LOC107376464",-0.559512456764283,"11033"
"ADAP1","LOC107388258",-0.0497937558829741,"11033"
"ADAP1","LOC107397365",0.105833097992874,"11033"
"ADAP2","LOC107382320",-0.023276392298127,"55803"
"ADAR","adar",1.91706829335456,"103"
"ADAR","LOC107379542",0.869550663443306,"103"
"ADARB1","LOC107384512",-0.0568648173743753,"104"
"ADARB1","LOC107389392",-0.00480227991070197,"104"
"ADARB2","adarb2",-1.96587054966558,"105"
"ADAT1","adat1",0.0171789556546827,"23536"
"ADAT2","adat2",0.00963345229211109,"134637"
"ADAT3","adat3",-0.0379709304680568,"113179"
"ADCK1","adck1",0.616153946996799,"57143"
"ADCK2","adck2",0.291233175731192,"90956"
"ADCK5","adck5",0.0140961113998476,"203054"
"ADCY1","LOC107393050",0.575468336677784,"107"
"ADCY1","LOC107383914",-0.0530844432326867,"107"
"ADCY2","LOC107376988",-0.055196589638534,"108"
"ADCY2","adcy7",-0.252211018952776,"108"
"ADCY2","LOC107383184",0.00492489958671963,"108"
"ADCY2","LOC107378756",-0.164968258150457,"108"
"ADCY3","adcy3",2.08704284447717,"109"
"ADCY3","LOC107377979",-0.00310170085975208,"109"
"ADCY5","adcy5",-2.51449939534995,"111"
"ADCY6","LOC107390847",0.0129245354281526,"112"
"ADCY6","adcy6",-5.97062353808359e-06,"112"
"ADCY8","LOC107384598",-0.74584086081944,"114"
"ADCY8","adcy8",-0.0425494213033539,"114"
"ADCY8","LOC107377600",-0.709841359397137,"114"
"ADCY9","LOC107390534",0.0194742379686663,"115"
"ADCY9","adcy9",0.395581263410512,"115"
"ADCYAP1","LOC107383779",-3.26378714800084,"116"
"ADCYAP1","adcyap1",-0.160644150056893,"116"
"ADCYAP1R1","LOC107393069",0.0286088420649911,"117"
"ADCYAP1R1","LOC107383802",2.9917872748678,"117"
"ADD1","add1",-0.00699612735994255,"118"
"ADD2","LOC107393523",-1.73456865517836,"119"
"ADD3","LOC107395483",0.00598598896854717,"120"
"ADD3","add3",1.3328447077069,"120"
"ADGRA1","adgra1",-0.00310423690380084,"84435"
"ADGRA2","adgra2",0.0262932920085455,"25960"
"ADGRA3","adgra3",0.156902067358227,"166647"
"ADGRB1","LOC107373853",-0.0029565587730596,"575"
"ADGRB1","adgrb1",-0.241377408764515,"575"
"ADGRB1","LOC107395204",-0.45863765057853,"575"
"ADGRB1","LOC107395265",0.503515243735931,"575"
"ADGRB2","adgrb2",0.359970214053411,"576"
"ADGRB3","LOC107395264",-0.00340672469321578,"577"
"ADGRB3","adgrb3",-2.28935401314959,"577"
"ADGRD1","adgrd1",4.10013797406467e-05,"283383"
"ADGRD2","LOC107392622",-0.167281249152211,"347088"
"ADGRD2","adgrd2",0.0745278697802725,"347088"
"ADGRE5","LOC107390510",-0.203402096586908,"976"
"ADGRE5","LOC107378310",-2.89611941533814,"976"
"ADGRF3","LOC107391992",3.42480540949042,"165082"
"ADGRF5","LOC107393469",-0.567780449450989,"221395"
"ADGRF5","LOC107393470",-0.0335704014918892,"221395"
"ADGRF5","LOC107378232",0.0149665835649229,"221395"
"ADGRF5","LOC107393471",-0.331428295352687,"221395"
"ADGRG2","adgrg2",-0.00288231934424521,"10149"
"ADGRG2","LOC107386403",0.181800044067016,"10149"
"ADGRG3","LOC107372360",-1.70410539311692,"222487"
"ADGRG4","LOC107374496",-2.40843280384267,"139378"
"ADGRG4","LOC107389748",0.0151090442416124,"139378"
"ADGRG4","LOC107378867",0.00400158958788119,"139378"
"ADGRG4","LOC107386724",-0.51192172089943,"139378"
"ADGRG4","LOC107386730",-0.174439279426441,"139378"
"ADGRG6","adgrg6",0.00015062136406439,"57211"
"ADGRG6","LOC107382000",-0.0420915317580642,"57211"
"ADGRG6","LOC107397294",5.01236472568926,"57211"
"ADGRG7","LOC107384589",-0.0446213113533807,"84873"
"ADGRL1","LOC107378309",-0.00295008216278527,"22859"
"ADGRL1","LOC107390457",-0.326175547598494,"22859"
"ADGRL2","adgrl2",0.0236561221224613,"23266"
"ADGRL2","LOC107383893",0.0272154165060298,"23266"
"ADGRL3","LOC107382177",0.126811795261419,"23284"
"ADGRL3","LOC107377409",0.105852115757513,"23284"
"ADGRL4","adgrl4",-0.33201878224692,"64123"
"ADGRL4","LOC107382281",0.0458959926544503,"64123"
"ADGRV1","adgrv1",-0.66233517604091,"84059"
"ADH5","LOC107392602",0.00103260461710848,"128"
"ADH5","LOC107379637",0.0944102366488907,"128"
"ADH5","LOC107392604",0.398107079147469,"128"
"ADHFE1","LOC107372658",0.289682313604117,"137872"
"ADHFE1","LOC107395287",-0.0446528407302808,"137872"
"ADI1","adi1",0.130788521627069,"55256"
"ADIPOR1","LOC107385668",0.0149515780408496,"51094"
"ADIPOR2","LOC107385000",0.811800348513845,"79602"
"ADK","adk",-0.111332921715339,"132"
"ADK","LOC107387556",1.13130091930064,"132"
"ADK","LOC107373589",0.993765974155353,"132"
"ADM","LOC107373688",-0.00391702999902406,"133"
"ADM","adm",0.0271449232799399,"133"
"ADM2","adm2",0.644461115634197,"79924"
"ADNP","LOC107385864",-0.000928879946912868,"23394"
"ADNP","adnp",1.18192527930915,"23394"
"ADNP2","adnp2",0.350906999494011,"22850"
"ADO","LOC107373913",-0.0264849268789068,"84890"
"ADO","ado",-0.163742964727763,"84890"
"ADORA1","LOC107390814",0.00518469866806116,"134"
"ADORA1","LOC107385935",-0.173371171200207,"134"
"ADORA1","LOC107385566",0.0090316709036039,"134"
"ADORA2A","LOC107384929",-0.913526740695674,"135"
"ADORA2A","adora2a",1.04618270457804,"135"
"ADORA2A","LOC107397223",0.534866094776857,"135"
"ADORA2B","adora2b",0.00438895968175554,"136"
"ADORA3","LOC107390952",-0.810600455566314,"140"
"ADPGK","adpgk",0.0024314859892958,"83440"
"ADPGK","LOC107381177",-0.0210263182085737,"83440"
"ADPRH","LOC107387955",0.00792717798643969,"141"
"ADPRH","LOC107387950",-0.000852212338514551,"141"
"ADPRHL1","LOC107373094",-0.00133594588064572,"113622"
"ADPRHL1","adprhl1",2.09717577384319,"113622"
"ADPRM","LOC107373834",-0.0014343497299679,"56985"
"ADPRM","LOC107397354",0.0290799451992148,"56985"
"ADRA1A","LOC107393699",0.196938492446836,"148"
"ADRA1B","LOC107374377",-0.159568985650623,"147"
"ADRA1B","adra1b",0.0363426520360659,"147"
"ADRA1D","adra1d",0.0896460031690699,"146"
"ADRA2A","LOC107394790",-1.98907514699555,"150"
"ADRA2A","adra2a",0.341718206646119,"150"
"ADRA2A","LOC107375821",-4.67535601775581,"150"
"ADRA2B","LOC107394177",0.181740152662209,"151"
"ADRA2C","LOC107377377",-0.00307264144732144,"152"
"ADRA2C","LOC107393278",-0.00307885415346884,"152"
"ADRB1","adrb1",-0.157272054005444,"153"
"ADRB1","LOC107393740",-2.03067916311787,"153"
"ADRB2","LOC107386754",-0.586188596575587,"154"
"ADRB2","LOC107379280",0.0633010358387444,"154"
"ADRB2","LOC107372451",-0.00617199666412402,"154"
"ADRM1","adrm1",0.0355837024524869,"11047"
"ADRM1","LOC107389462",-0.0142284602032019,"11047"
"ADSL","adsl",0.332905050757914,"158"
"ADTRP","LOC107375385",-1.33565756506916,"84830"
"AEBP1","LOC107395676",-0.0578603843945574,"165"
"AEBP1","aebp1",-0.229780211308999,"165"
"AEBP2","LOC107388604",0.035012393995175,"121536"
"AEBP2","aebp2",0.0276107566516923,"121536"
"AEN","isg20l2",-0.349957457979756,"64782"
"AEN","aen",-0.00843948621509531,"64782"
"AFAP1","afap1",0.227386413678253,"60312"
"AFAP1L1","LOC107386747",-0.0111363444378506,"134265"
"AFAP1L1","LOC107397232",-0.104970374481058,"134265"
"AFAP1L2","LOC107386140",0.0200946540120498,"84632"
"AFAP1L2","afap1l2",-0.22711086072226,"84632"
"AFF2","aff2",0.36258785508883,"2334"
"AFF3","aff3",0.0221374221634206,"3899"
"AFF4","aff1",-0.0316005585981972,"27125"
"AFF4","aff4",0.751474825870934,"27125"
"AFG3L2","LOC107380816",0.199872899137539,"10939"
"AFG3L2","LOC107381316",-0.00305212797877831,"10939"
"AFG3L2","afg3l2",0.00202242625153813,"10939"
"AFMID","LOC107394295",-0.458560246196381,"125061"
"AFMID","afmid",-0.0809788531634713,"125061"
"AFTPH","LOC107394084",0.0848711530819833,"54812"
"AFTPH","LOC107376066",1.78915651500866,"54812"
"AGA","aga",-1.39837702604258,"175"
"AGAP1","LOC107384564",0.480904854593075,"116987"
"AGAP2","LOC107391110",-1.46177170920475,"116986"
"AGAP2","agap2",0.108328544781044,"116986"
"AGAP3","LOC107383869",-9.16896648610383e-05,"116988"
"AGBL2","LOC107389044",0.14895425867784,"79841"
"AGBL4","LOC107393160",1.67798578538106,"84871"
"AGBL4","agbl4",0.0180739978134668,"84871"
"AGBL5","agbl5",-0.000513364225707343,"60509"
"AGFG1","LOC107374460",-0.0114199786557061,"3267"
"AGFG1","agfg1",-0.000235038636273451,"3267"
"AGFG1","LOC107377349",0.158565489938007,"3267"
"AGGF1","aggf1",-0.0277358325438017,"55109"
"AGK","agk",-0.152090945932049,"55750"
"AGL","agl",0.033699637156485,"178"
"AGMAT","agmat",-0.0288518649274463,"79814"
"AGMO","agmo",0.549739842780226,"392636"
"AGO1","LOC107379324",-0.302840701851648,"26523"
"AGO2","LOC107383289",0.0665384253783713,"27161"
"AGO3","LOC107379323",0.118558104129878,"192669"
"AGO3","LOC107394889",-0.496419221242211,"192669"
"AGO4","LOC107395582",0.852207592989161,"192670"
"AGPAT1","LOC107374952",-0.0435537972158853,"10554"
"AGPAT3","agpat3",0.017558582401702,"56894"
"AGPAT4","LOC107373468",-10.4521551624587,"56895"
"AGPAT4","agpat4",-5.95211863167955,"56895"
"AGPAT5","agpat5",-0.499307354643457,"55326"
"AGPS","agps",-0.105587732937594,"8540"
"AGR3","agr2",1.81347829093882,"155465"
"AGRN","agrn",0.0373975144708388,"375790"
"AGRP","agrp",-0.487675158729581,"181"
"AGT","agt",-0.136782253754795,"183"
"AGTPBP1","agtpbp1",-0.00318269500445715,"23287"
"AGTR1","agtr1",-0.024104564195697,"185"
"AGTR2","LOC107389596",0.0297792157770878,"186"
"AGTRAP","agtrap",-0.602864239038285,"57085"
"AGXT","LOC107396625",7.99935807229363e-05,"189"
"AGXT","LOC107383977",0.114894441944938,"189"
"AGXT2","agxt2",0.185029218170769,"64902"
"AHCTF1","ahctf1",0.00808846794880343,"25909"
"AHCY","ahcy",0.355467889509783,"191"
"AHCYL2","LOC107385760",-0.000532091575484725,"23382"
"AHCYL2","LOC107388935",-0.00302479779613113,"23382"
"AHCYL2","ahcyl1",-0.708911204335528,"23382"
"AHCYL2","ahcyl2",0.00985915581720769,"23382"
"AHDC1","LOC107394780",-0.332593637948558,"27245"
"AHI1","LOC107382889",-0.478509082787038,"54806"
"AHI1","ahi1",-0.341305592993045,"54806"
"AHNAK","LOC107373441",-0.0138662593738198,"79026"
"AHNAK","LOC107382393",-0.905998411440737,"79026"
"AHNAK","ahnak2",-0.0251502148166293,"79026"
"AHNAK","ahnak",0.128743824677083,"79026"
"AHNAK","prx",0.0480809191967451,"79026"
"AHR","LOC107384668",1.04482035520717,"196"
"AHR","LOC107389540",-0.230577319503343,"196"
"AHR","LOC107384673",0.433397186807943,"196"
"AHRR","ahrr",0.276246175181505,"57491"
"AHSA1","LOC107377890",-2.02707222066373,"10598"
"AHSA1","LOC107391895",-0.0313127806875567,"10598"
"AHSG","LOC107396791",-8.86451700373733e-05,"197"
"AICDA","LOC107379531",-0.0578116482410839,"57379"
"AIDA","aida",-0.871421084050564,"64853"
"AIF1","LOC107378674",-3.10564961311268,"199"
"AIF1L","aif1l",-0.000719349669781479,"83543"
"AIFM1","aifm1",0.0115968491100159,"9131"
"AIFM1","LOC107389814",0.766775592529873,"9131"
"AIFM3","LOC107380383",1.60644178220697,"150209"
"AIFM3","aifm3",-0.482124155043099,"150209"
"AIG1","aig1",0.0779109600012662,"51390"
"AIMP1","aimp1",-0.337173269290576,"9255"
"AIMP1","LOC107396476",0.141592660197492,"9255"
"AIMP2","aimp2",0.051964839515616,"7965"
"AIP","aip",-0.28240611848557,"9049"
"AIPL1","aipl1",-4.32830262381751,"23746"
"AIPL1","LOC107378992",-0.397980497962729,"23746"
"AJAP1","ajap1",-0.164899109124249,"55966"
"AJUBA","LOC107377277",-0.00429988691884231,"84962"
"AK1","ak1",0.000123360886704224,"203"
"AK2","ak2",0.334503764355153,"204"
